IP地址,端口,机房,平均延迟,下载速度 (MB/s)
8.222.153.11,2086,JP,339,3.4
8.219.170.232,2095,SG,238,3.21
8.222.188.56,2095,SG,220,3.16
8.222.224.163,2095,SG,175,3.01
8.222.211.124,2095,SG,184,3
8.219.153.237,2086,JP,368,2.71
8.222.180.86,80,SG,197,2.56
8.222.153.11,8080,JP,331,2.23
47.245.15.236,2086,JP,127,2.21
8.219.153.237,2095,JP,408,1.92
8.222.153.11,8880,JP,333,1.85
47.245.84.155,2082,SG,890,1.85
47.245.126.151,2082,SG,862,1.65
47.245.15.236,8080,JP,123,1.59
47.245.126.151,8080,SG,905,1.48
47.245.15.236,2052,JP,129,1.24
47.245.126.151,2052,SG,864,1
47.245.84.155,80,SG,888,0.93
47.245.84.155,8880,SG,898,0.9
8.212.41.98,8080,US,289,0.86
8.218.65.237,8880,HK,132,0.84
47.245.84.155,2086,SG,891,0.78
47.245.84.155,2095,SG,905,0.77
47.245.126.151,2086,SG,851,0.72
47.245.84.155,8080,SG,928,0.51
47.245.126.151,8880,SG,885,0.45
47.245.126.151,2095,SG,888,0.41
8.212.41.98,80,SG,191,0.33
47.245.126.151,80,SG,897,0.28
8.218.65.237,8080,HK,133,0.24
8.222.217.39,8080,US,580,0.15
